177,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　蒸し　　,1.00,1.32,0.012,0.003,0.314,1
178,＜いも類＞（さといも類）　さといも　球茎　生　　,1.00,0.58,0.015,0.001,0.131,1
179,＜いも類＞（さといも類）　さといも　球茎　水煮　　,1.00,0.59,0.015,0.001,0.134,1
180,＜いも類＞（さといも類）　さといも　球茎　冷凍　　,1.00,0.72,0.022,0.001,0.161,1
181,＜いも類＞（さといも類）　セレベス　球茎　生　　,1.00,0.89,0.022,0.003,0.198,1
182,＜いも類＞（さといも類）　セレベス　球茎　水煮　　,1.00,0.85,0.021,0.003,0.191,1
183,＜いも類＞（さといも類）　たけのこいも　球茎　生　　,1.00,1.03,0.017,0.004,0.235,1
184,＜いも類＞（さといも類）　たけのこいも　球茎　水煮　　,1.00,0.96,0.016,0.004,0.218,1
185,＜いも類＞（さといも類）　みずいも　球茎　生　　,1.00,1.17,0.007,0.004,0.276,1
186,＜いも類＞（さといも類）　みずいも　球茎　水煮　　,1.00,1.10,0.007,0.004,0.261,1
187,＜いも類＞（さといも類）　やつがしら　球茎　生　　,1.00,0.97,0.03,0.007,0.205,1
188,＜いも類＞（さといも類）　やつがしら　球茎　水煮　　,1.00,0.93,0.027,0.006,0.2,1
189,＜いも類＞じゃがいも　塊茎　生　　　,1.00,0.76,0.016,0.001,0.176,1
190,＜いも類＞じゃがいも　塊茎　蒸し　　　,1.00,0.84,0.015,0.001,0.197,1
191,＜いも類＞じゃがいも　塊茎　水煮　　　,1.00,0.73,0.015,0.001,0.168,1
192,＜いも類＞じゃがいも　フライドポテト　　　,1.00,2.37,0.029,0.106,0.324,1
193,＜いも類＞じゃがいも　乾燥マッシュポテト　　　,1.00,3.57,0.066,0.006,0.828,1
194,＜いも類＞ヤーコン　塊根　生　　　,1.00,0.54,0.006,0.003,0.124,1
195,＜いも類＞ヤーコン　塊根　水煮　　　,1.00,0.44,0.006,0.003,0.099,1
196,＜いも類＞（やまのいも類）　ながいも　いちょういも　塊根　生　,1.00,1.08,0.045,0.005,0.226,1
197,＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　生　,1.00,0.65,0.022,0.003,0.139,1
198,＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　水煮　,1.00,0.59,0.02,0.003,0.126,1
199,＜いも類＞（やまのいも類）　ながいも　やまといも　塊根　生　,1.00,1.23,0.045,0.002,0.271,1
200,＜いも類＞（やまのいも類）　じねんじょ　塊根　生　　,1.00,1.21,0.028,0.007,0.267,1
201,＜いも類＞（やまのいも類）　だいじょ　塊根　生　　,1.00,1.09,0.026,0.001,0.25,1
202,＜でん粉・でん粉製品＞（でん粉類）　キャッサバでん粉　　　,1.00,3.46,0.001,0.002,0.853,1
203,＜でん粉・でん粉製品＞（でん粉類）　くずでん粉　　　,1.00,3.47,0.002,0.002,0.856,1
204,＜でん粉・でん粉製品＞（でん粉類）　米でん粉　　　,1.00,3.66,0.002,0.007,0.893,1
205,＜でん粉・でん粉製品＞（でん粉類）　小麦でん粉　　　,1.00,3.51,0.002,0.005,0.86,1
206,＜でん粉・でん粉製品＞（でん粉類）　サゴでん粉　　　,1.00,3.49,0.001,0.002,0.861,1
207,＜でん粉・でん粉製品＞（でん粉類）　さつまいもでん粉　　　,1.00,3.32,0.001,0.002,0.82,1
208,＜でん粉・でん粉製品＞（でん粉類）　じゃがいもでん粉　　　,1.00,3.30,0.001,0.001,0.816,1
209,＜でん粉・でん粉製品＞（でん粉類）　とうもろこしでん粉　　　,1.00,3.54,0.001,0.007,0.863,1
210,＜でん粉・でん粉製品＞（でん粉製品）　くずきり　乾　　,1.00,3.56,0.002,0.002,0.877,1
211,＜でん粉・でん粉製品＞（でん粉製品）　くずきり　ゆで　　,1.00,1.35,0.001,0.001,0.333,1
212,＜でん粉・でん粉製品＞（でん粉製品）　ごま豆腐　　　,1.00,0.81,0.015,0.043,0.091,1
213,＜でん粉・でん粉製品＞（でん粉製品）　タピオカパール　乾　　,1.00,3.55,0,0.002,0.878,1
214,＜でん粉・でん粉製品＞（でん粉製品）　タピオカパール　ゆで　　,1.00,0.62,0,0,0.154,1
215,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　生　　,1.00,1.31,0.001,0.002,0.322,1
216,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　乾　　,1.00,3.53,0.002,0.003,0.867,1
217,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　乾　ゆで　　,1.00,0.84,0,0.002,0.206,1
218,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　緑豆はるさめ　乾　,1.00,3.56,0.002,0.004,0.875,1
219,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　緑豆はるさめ　ゆで　,1.00,0.84,0,0.001,0.206,1
220,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　普通はるさめ　乾　,1.00,3.50,0,0.002,0.866,1
221,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　普通はるさめ　ゆで　,1.00,0.80,0,0,0.199,1
222,（砂糖類）　黒砂糖　　　,1.00,3.54,0.017,0,0.897,1
223,（砂糖類）　和三盆糖　　　,1.00,3.83,0.002,0,0.988,1
224,（砂糖類）　車糖　上白糖　　,1.00,3.84,0,0,0.992,1
225,（砂糖類）　車糖　三温糖　　,1.00,3.82,0,0,0.987,1
226,（砂糖類）　ざらめ糖　グラニュー糖　　,1.00,3.87,0,0,1,1
227,（砂糖類）　ざらめ糖　白ざら糖　　,1.00,3.87,0,0,1,1
228,（砂糖類）　ざらめ糖　中ざら糖　　,1.00,3.87,0,0,1,1
229,（砂糖類）　加工糖　角砂糖　　,1.00,3.87,0,0,1,1
230,（砂糖類）　加工糖　氷砂糖　　,1.00,3.87,0,0,1,1
231,（砂糖類）　加工糖　コーヒーシュガー　　,1.00,3.87,0.001,0,0.999,1
232,（砂糖類）　加工糖　粉糖　　,1.00,3.86,0,0,0.997,1
233,（砂糖類）　液糖　しょ糖型液糖　　,1.00,2.71,0,0,0.7,1
234,（砂糖類）　液糖　転化型液糖　　,1.00,3.07,0,0,0.793,1
235,（砂糖類）　氷糖みつ　　　,1.00,2.65,0.002,0,0.682,1
236,（でん粉糖類）　粉あめ　　　,1.00,3.81,0,0,0.97,1
237,（でん粉糖類）　水あめ　酵素糖化　　,1.00,3.28,0,0,0.85,1
238,（でん粉糖類）　水あめ　酸糖化　　,1.00,3.28,0,0,0.85,1
239,（でん粉糖類）　ぶどう糖　全糖　　,1.00,3.35,0,0,0.91,1
240,（でん粉糖類）　ぶどう糖　含水結晶　　,1.00,3.36,0,0,0.913,1
