218,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　緑豆はるさめ　乾　,1.00,3.56,0.002,0.004,0.875
219,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　緑豆はるさめ　ゆで　,1.00,0.84,0,0.001,0.206
220,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　普通はるさめ　乾　,1.00,3.50,0,0.002,0.866
221,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　普通はるさめ　ゆで　,1.00,0.80,0,0,0.199
222,（砂糖類）　黒砂糖　　　,1.00,3.54,0.017,0,0.897
223,（砂糖類）　和三盆糖　　　,1.00,3.83,0.002,0,0.988
224,（砂糖類）　車糖　上白糖　　,1.00,3.84,0,0,0.992
225,（砂糖類）　車糖　三温糖　　,1.00,3.82,0,0,0.987
226,（砂糖類）　ざらめ糖　グラニュー糖　　,1.00,3.87,0,0,1
227,（砂糖類）　ざらめ糖　白ざら糖　　,1.00,3.87,0,0,1
228,（砂糖類）　ざらめ糖　中ざら糖　　,1.00,3.87,0,0,1
229,（砂糖類）　加工糖　角砂糖　　,1.00,3.87,0,0,1
230,（砂糖類）　加工糖　氷砂糖　　,1.00,3.87,0,0,1
231,（砂糖類）　加工糖　コーヒーシュガー　　,1.00,3.87,0.001,0,0.999
232,（砂糖類）　加工糖　粉糖　　,1.00,3.86,0,0,0.997
233,（砂糖類）　液糖　しょ糖型液糖　　,1.00,2.71,0,0,0.7
234,（砂糖類）　液糖　転化型液糖　　,1.00,3.07,0,0,0.793
235,（砂糖類）　氷糖みつ　　　,1.00,2.65,0.002,0,0.682
236,（でん粉糖類）　粉あめ　　　,1.00,3.81,0,0,0.97
237,（でん粉糖類）　水あめ　酵素糖化　　,1.00,3.28,0,0,0.85
238,（でん粉糖類）　水あめ　酸糖化　　,1.00,3.28,0,0,0.85
239,（でん粉糖類）　ぶどう糖　全糖　　,1.00,3.35,0,0,0.91
240,（でん粉糖類）　ぶどう糖　含水結晶　　,1.00,3.36,0,0,0.913
241,（でん粉糖類）　ぶどう糖　無水結晶　　,1.00,3.67,0,0,0.997
242,（でん粉糖類）　果糖　　　,1.00,3.68,0,0,0.999
243,（でん粉糖類）　異性化液糖　ぶどう糖果糖液糖　　,1.00,2.76,0,0,0.75
244,（でん粉糖類）　異性化液糖　果糖ぶどう糖液糖　　,1.00,2.76,0,0,0.75
245,（でん粉糖類）　異性化液糖　高果糖液糖　　,1.00,2.76,0,0,0.75
246,（その他）　黒蜜　,1.00,1.99,0.01,0,0.505
247,（その他）　はちみつ　,1.00,2.94,0.002,0,0.797
248,（その他）　メープルシロップ　　　,1.00,2.57,0.001,0,0.663
249,あずき　全粒　乾　　　,1.00,3.39,0.203,0.022,0.587
250,あずき　全粒　ゆで　　　,1.00,1.43,0.089,0.01,0.242
251,あずき　ゆで小豆缶詰　　　,1.00,2.18,0.044,0.004,0.492
252,あずき　あん　こしあん　　,1.00,1.55,0.098,0.006,0.271
253,あずき　あん　さらしあん　　,1.00,3.85,0.262,0.01,0.668
254,あずき　あん　つぶしあん　　,1.00,2.44,0.056,0.006,0.54
255,いんげんまめ　全粒　乾　　　,1.00,3.33,0.199,0.022,0.578
256,いんげんまめ　全粒　ゆで　　　,1.00,1.43,0.085,0.01,0.248
257,いんげんまめ　うずら豆　,1.00,2.37,0.067,0.013,0.496
258,いんげんまめ　こしあん　　　,1.00,1.55,0.094,0.009,0.27
259,いんげんまめ　豆きんとん　　　,1.00,2.49,0.049,0.005,0.562
260,えんどう　全粒　青えんどう　乾　　,1.00,3.52,0.217,0.023,0.604
